Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
The Day After Tomorrow,2004-05-26,"After years of increases in the greenhouse effect, havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.",6.532,7929,en,Action;Adventure;Science Fiction;Thriller,124,Where will you be?,125000000,552639571,20th Century Fox;Centropolis Entertainment;Lionsgate;The Mark Gordon Company,United States of America,English;日本語;Français;العربية;Español,tt0319262
Raising Helen,2004-05-27,"Helen Harris has a glamorous, big-city life working for one of New York's hottest modeling agencies. But suddenly her free-spirited life gets turned upside down when she must chose between the life she's always loved, and the new loves of her life!",6.133,647,en,Drama;Comedy;Romance,119,Her uptown life gets turned inside out!,50000000,49700000,Beacon Pictures;Touchstone Pictures;Mandeville Films,United States of America,English,tt0350028
Harry Potter and the Prisoner of Azkaban,2004-05-31,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",8,21158,en,Adventure;Fantasy,141,Something wicked this way comes.,130000000,789804554,Warner Bros. Pictures;1492 Pictures;Heyday Films;P of A Productions Limited,United Kingdom;United States of America,English,tt0304141
Napoleon Dynamite,2004-06-11,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",6.8,1822,en,Comedy,95,He's out to prove he's got nothing to prove.,400000,46118097,Access Films;Napoleon Pictures Limited;Cinetic Media;Paramount Pictures;Fox Searchlight Pictures;MTV Films,United States of America,English,tt0374900
The Chronicles of Riddick,2004-06-11,"After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.",6.524,3956,en,Action;Science Fiction,119,All the power in the universe can't change destiny,105000000,115772733,Radar Pictures;One Race;Primal Foe Productions,United States of America,English,tt0296572
Before Sunset,2004-06-16,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",7.819,3286,en,Drama;Romance,80,What if you had a second chance with the one that got away?,2700000,15992615,Warner Independent Pictures;Castle Rock Entertainment;Detour Filmproduction,France;United States of America,English;Français,tt0381681
The Terminal,2004-06-17,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant.",7.343,7721,en,Comedy;Drama,128,Life is waiting.,60000000,219417255,DreamWorks Pictures;Amblin Entertainment;Parkes/MacDonald Productions,United States of America,български език;English;Français;Pусский;Español,tt0362227
DodgeBall: A True Underdog Story,2004-06-18,"When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.",6.4,3398,en,Comedy,92,Grab life by the ball.,20000000,168423227,20th Century Fox;Red Hour,United States of America,English;Deutsch,tt0364725
White Chicks,2004-06-23,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. To avoid being fired they accept a mission escorting a pair of socialites to the Hamptons--but when the girls are disfigured in a car accident, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from black men into rich white women.",6.954,3865,en,Comedy;Crime,109,They're going deep undercover.,37000000,113100000,Columbia Pictures;Revolution Studios;Wayans Bros. Entertainment;Gone North Productions,United States of America,English,tt0381707
The Notebook,2004-06-25,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",7.889,11270,en,Romance;Drama,123,Behind every great love is a great story.,29000000,115600000,New Line Cinema;Avery Pix;Gran Via Productions,United States of America,English,tt0332280
Spider-Man 2,2004-06-25,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...",7.28,14843,en,Action;Adventure;Science Fiction,127,There's a hero in all of us.,200000000,788976453,Marvel Enterprises;Laura Ziskin Productions;Columbia Pictures,United States of America,English;Pусский;普通话,tt0316654
Anchorman: The Legend of Ron Burgundy,2004-06-28,"It's the 1970s and San Diego anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.",6.716,4061,en,Comedy,95,They bring you the news so you don't have to get it yourself.,26000000,90574188,DreamWorks Pictures;Apatow Productions,United States of America,English,tt0357413
The Machinist,2004-07-02,"Trevor, an insomniac lathe operator, experiences unusual occurrences at work and home. A strange man follows him everywhere, but no one else seems to notice him.",7.5,5419,en,Thriller;Drama,101,How do you wake up from a nightmare if you’re not asleep?,5000000,8203235,Castelao Productions;Filmax,Spain,English,tt0361862
Harold & Kumar Go to White Castle,2004-07-02,"Nerdy accountant Harold and his irrepressible friend, Kumar, get stoned watching television and find themselves utterly bewitched by a commercial for White Castle. Convinced there must be one nearby, the two set out on a late-night odyssey that takes them deep into New Jersey. Somehow, the boys manage to run afoul of rednecks, cops and even a car-stealing Neil Patrick Harris before getting anywhere near their beloved sliders.",6.524,2002,en,Comedy;Adventure,88,Fast food. High times.,9000000,23936908,New Line Cinema;Senator International;Kingsgate Films;Endgame Entertainment,United States of America,English;हिन्दी,tt0366551
King Arthur,2004-07-07,"The story of the Arthurian legend, based on the 'Sarmatian hypothesis' which contends that the legend has a historical nucleus in the Sarmatian heavy cavalry troops stationed in Britain, and that the Roman-British military commander, Lucius Artorius Castus is the historical person behind the legend.",6.292,2640,en,Adventure;War;History;Action;Drama,126,Rule Your Fate.,120000000,203600000,Jerry Bruckheimer Films;World 2000 Entertainment;Touchstone Pictures;Green Hills Productions,Ireland;United Kingdom;United States of America;Singapore,Cymraeg;Gaeilge;Latin;English;,tt0349683
Sleepover,2004-07-09,"As their first year of high school looms ahead, best friends Julie, Hannah, Yancy and Farrah have one last summer sleepover. Little do they know they're about to embark on the adventure of a lifetime. Desperate to shed their nerdy status, they take part in a night-long scavenger hunt that pits them against their popular archrivals. Everything under the sun goes on -- from taking Yancy's father's car to sneaking into nightclubs!",6,473,en,Family;Comedy,89,The rules are set. The game is on.,10000000,10143022,Metro-Goldwyn-Mayer;Landscape Entertainment;Weinstock Productions,United States of America,English,tt0368975
"I, Robot",2004-07-15,"In 2035, where robots are commonplace and abide by the three laws of robotics, a technophobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",6.949,11539,en,Action;Science Fiction,115,One man saw it coming,120000000,347234916,Davis Entertainment;Laurence Mark Productions;Canlaws Productions;20th Century Fox;Overbrook Entertainment;Mediastream Vierte Film GmbH & Co. Vermarktungs KG,United States of America;Germany,English,tt0343818
9 Songs,2004-07-16,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",5.607,504,en,Drama;Music;Romance,69,"2 lovers, one summer, and the 9 songs that defined them.",1000000,1574623,Revolution Films,United Kingdom,English,tt0411705
A Cinderella Story,2004-07-16,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",6.551,3132,en,Comedy;Family;Romance,95,Once upon a time... can happen any time.,19000000,70067909,Dylan Sellers Productions;Gaylord Films;Clifford Werber Productions;Warner Bros. Pictures,Canada;United States of America,Deutsch;Český;English,tt0356470
Catwoman,2004-07-22,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat — and she's eager to use her new skills... as a vigilante. Before you can say ""cat and mouse"", handsome gumshoe Tom Lone is on her tail, fascinated by both of her personas.",4.597,3237,en,Action;Fantasy;Crime,104,You can’t CATch her.,100000000,82102379,Village Roadshow Pictures;Di Novi Pictures;Frantic Films;Maple Shade Films;Catwoman Films;Warner Bros. Pictures,Canada;United States of America,Español;English,tt0327554
The Bourne Supremacy,2004-07-23,"A CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",7.324,7332,en,Action;Drama;Thriller,108,They should have left him alone.,75000000,288500217,Universal Pictures;The Kennedy/Marshall Company;Hypnotic;Motion Picture THETA Produktionsgesellschaft;Ludlum Entertainment;Studio Trite,Germany;Russia;United States of America,English;Pусский;Deutsch;Italiano,tt0372183
Garden State,2004-07-28,"Andrew returns to his hometown for the funeral of his mother, a journey that reconnects him with past friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam - a girl also suffering from various maladies - opens up the possibility of rekindling emotional attachments, confronting his psychologist father, and perhaps beginning a new life.",7.08,1793,en,Comedy;Drama;Romance,102,,2500000,26781723,Camelot Pictures;Jersey Films;Double Feature Films;Large's Ark Productions,United States of America,English,tt0333766
The Village,2004-07-30,"When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",6.5,4054,en,Drama;Mystery;Thriller,108,There is no turning back,60000000,256700000,Touchstone Pictures;Blinding Edge Pictures;Scott Rudin Productions,United States of America,English,tt0368447
The Manchurian Candidate,2004-07-30,"Years after his squad was ambushed during the Gulf War, Major Ben Marco finds himself having terrible nightmares. He begins to doubt that his fellow squad-mate Sergeant Raymond Shaw, now a vice-presidential candidate, is the hero he remembers him being. As Marco's doubts deepen, Shaw's political power grows, and, when Marco finds a mysterious implant embedded in his back, the memory of what really happened begins to return.",6.462,1485,en,Drama;Thriller;Mystery,129,Everything is under control.,80000000,96105964,Clinica Estetico;Paramount Pictures;Scott Rudin Productions,United States of America,English,tt0368008
Collateral,2004-08-04,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,7.223,5445,en,Drama;Crime;Thriller,120,It started like any other night.,65000000,220239925,Paramount Pictures;Parkes/MacDonald Productions;Edge City;DreamWorks Pictures,United States of America,Español;English,tt0369339
The Princess Diaries 2: Royal Engagement,2004-08-06,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",6.682,3152,en,Comedy;Drama;Family;Romance,113,It can take a lifetime to find true love; she's got 30 days!,40000000,134734481,BrownHouse Productions;Walt Disney Pictures,United States of America,English,tt0368933
AVP: Alien vs. Predator,2004-08-12,"When scientists discover something near Antarctica that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",5.9,4263,en,Adventure;Science Fiction;Action;Horror,100,Whoever wins...we lose.,70000000,177427090,Studio Babelsberg;Davis Entertainment;Stillking Films;Lonlink Productions;Kut Productions;Inside Track Films;20th Century Fox;Brandywine Productions,Czech Republic;Germany;United Kingdom;United States of America,Italiano;English,tt0370263
Without a Paddle,2004-08-20,"Three friends, whose lives have been drifting apart, reunite for the funeral of a fourth childhood friend. When looking through their childhood belongings, they discover a trunk which contained details on a quest their friend was attempting. It revealed that he was hot on the trail of the $200,000 that went missing with airplane hijacker D.B. Cooper in 1971. They decide to continue his journey, but do not understand the dangers they will soon encounter.",5.588,625,en,Comedy;Action;Adventure;Thriller,95,The call of the wild. The thrill of adventure. The mistake of a lifetime.,19000000,69600000,De Line Pictures;Paramount Pictures,United States of America,English,tt0364751
Cellular,2004-09-06,A young man receives an emergency phone call on his cell phone from an older woman. She claims to have been kidnapped – and the kidnappers have targeted her husband and child next.,6.376,1852,en,Action;Thriller;Drama;Crime,94,If the signal dies so does she.,25000000,57678321,Electric Entertainment,United States of America;Germany,English,tt0337921
Howl's Moving Castle,2004-09-09,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",8.406,9640,ja,Fantasy;Animation;Adventure,119,The two lived there.,24000000,236049757,Studio Ghibli;dentsu Music And Entertainment;Mitsubishi;Nippon Television Network Corporation;TFC;Tokuma Shoten;d-rights,Japan,日本語,tt0347149
Howl's Moving Castle,2004-09-09,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",8.406,9640,ja,Fantasy;Animation;Adventure,119,The two lived there.,24000000,236049757,Studio Ghibli;dentsu Music And Entertainment;Mitsubishi;Nippon Television Network Corporation;TFC;Tokuma Shoten;d-rights,Japan,日本語,tt0347149
The Murdoch Mysteries: Poor Tom Is Cold,2004-09-12,"Detective William Murdoch is called upon to investigate the death of police constable Oliver Wicken, who is believed to have committed suicide. However, new and disturbing evidence suggests this case is more than what it seems to be.",0,0,en,Mystery;Drama;Crime,85,,0,0,,Canada,English,tt0653705
Shark Tale,2004-09-20,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",6.031,6221,en,Animation;Action;Comedy;Family,90,Behind every little fish is a great white lie.,75000000,367300000,DreamWorks Animation,United States of America,English,tt0307453
Layer Cake,2004-09-30,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...",6.927,2009,en,Drama;Thriller;Crime,105,,6500000,11900000,Marv,United Kingdom,English;Română,tt0375912
Saw,2004-10-01,"Two men wake up to find themselves shackled in a grimy, abandoned bathroom. As they struggle to comprehend their predicament, they discover a disturbing tape left behind by the sadistic mastermind known as Jigsaw. With a chilling voice and cryptic instructions, Jigsaw informs them that they must partake in a gruesome game in order to secure their freedom.",7.4,9006,en,Horror;Mystery;Crime,103,How much blood would you shed to stay alive?,1200000,103911669,Twisted Pictures;Evolution Entertainment;Saw Productions Inc.,United States of America,English,tt0387564
Friday Night Lights,2004-10-08,"A small, turbulent town in Texas obsesses over their high school football team to an unhealthy degree. When the star tailback, Boobie Miles, is seriously injured during the first game of the season, all hope is lost, and the town's dormant social problems begin to flare up. It is left to the inspiring abilities of new coach Gary Gaines to instill in the other team members -- and, by proxy, the town itself -- a sense of self-respect and honor.",6.883,541,en,Drama,118,Hope comes alive on Friday nights.,30000000,61255921,Imagine Entertainment;Friday Night Lights;MDBF Filmgesellschaft mbH & Company KG;Universal Pictures,United States of America,English,tt0390022
Primer,2004-10-08,"Two fledgling inventors discover a complex method to manipulate reality. At first, they successfully game the stock market with it, but the consequences of the invention start to catch up with them.",6.767,2098,en,Science Fiction;Drama;Thriller,77,What happens if it actually works?,7000,545436,Shane Carruth,United States of America,English;Français,tt0390384
Friday Night Lights,2004-10-08,"A small, turbulent town in Texas obsesses over their high school football team to an unhealthy degree. When the star tailback, Boobie Miles, is seriously injured during the first game of the season, all hope is lost, and the town's dormant social problems begin to flare up. It is left to the inspiring abilities of new coach Gary Gaines to instill in the other team members -- and, by proxy, the town itself -- a sense of self-respect and honor.",6.883,541,en,Drama,118,Hope comes alive on Friday nights.,30000000,61255921,Imagine Entertainment;Friday Night Lights;MDBF Filmgesellschaft mbH & Company KG;Universal Pictures,United States of America,English,tt0390022
Team America: World Police,2004-10-10,"When North Korean ruler Kim Jong-il orchestrates a global terrorist plot, it's up to the heavily armed, highly specialized Team America unit to stop his dastardly scheme. The group, which has recruited troubled Broadway actor Gary Johnston, not only has to face off against Jong-il, but they must also contend with the Film Actors Guild, a cadre of Hollywood liberals at odds with Team America's 'policing the world' tactics.",6.707,1799,en,Adventure;Action;Comedy,97,Freedom Hangs By A Thread,32000000,50826898,Paramount Pictures;Scott Rudin Productions;Parker-Stone Productions,United States of America,العربية;English;Français;한국어/조선말,tt0372588
Sideways,2004-10-22,"Two middle-aged men embark on a spiritual journey through Californian wine country. One is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle.",7.098,1612,en,Comedy;Drama;Romance,127,In search of wine. In search of women. In search of themselves.,16000000,109502303,Fox Searchlight Pictures;Michael London Productions;Sideways Productions Inc.,Hungary;United States of America;Italy,;English,tt0375063
The Grudge,2004-10-22,"An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",5.901,2865,en,Horror;Mystery;Thriller,92,It never forgives. It never forgets.,10000000,183474602,Ghost House Pictures,United States of America,English;日本語,tt0391198
The Incredibles,2004-10-27,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",7.708,17364,en,Action;Adventure;Animation;Family,115,"Meet the Parrs, a family of superheroes.",92000000,631442092,Walt Disney Pictures;Pixar,United States of America,Français;English,tt0317705
Birth,2004-10-29,"It took Anna 10 years to recover from the death of her husband, Sean, but now she's on the verge of marrying her boyfriend, Joseph, and finally moving on. However, on the night of her engagement party, a young boy named Sean turns up, saying he is her dead husband reincarnated. At first she ignores the child, but his knowledge of her former husband's life is uncanny, leading her to believe that he might be telling the truth.",5.985,636,en,Drama;Mystery,100,Careful what you wish for.,20000000,23900000,Academy Films;Fine Line Features;New Line Cinema;Lou Yi;March Entertainment,Germany;United Kingdom;United States of America,English,tt0337876
The SpongeBob SquarePants Movie,2004-11-14,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",7.019,2799,en,Family;Animation;Comedy;Fantasy;Adventure,87,Hero. Legend. Sponge.,30000000,140161792,Paramount Pictures;Nickelodeon Movies;United Plankton Pictures,United States of America,English,tt0345950
National Treasure,2004-11-19,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",6.634,6192,en,Adventure;Action;Thriller;Mystery,131,"In order to break the code, one man will have to break all the rules.",100000000,347500000,Walt Disney Pictures;Jerry Bruckheimer Films;Saturn Films;Junction Entertainment,United States of America,Latin;English;Español,tt0368891
Alexander,2004-11-21,"Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",5.946,3187,en,War;History;Action;Adventure;Drama;Romance,175,The greatest legend of all was real,155000000,167298192,Warner Bros. Pictures;Intermedia;Egmond Film & Television;Pacifica Film;IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG;Santa International Film Productions;Renn Productions;Pathé;Cecchi Gori Pictures;Dune Films;France 2 Cinéma;France 3 Cinéma;Banque Populaire Images 4;Canal+,France;Germany;Italy;Morocco;Netherlands;Thailand;United Kingdom;United States of America,English,tt0346491
Antares,2004-12-03,"A deadly car crash sets off three parallel stories of women at crisis points, faltering behind the doors of the same, plain Vienna apartment block.",5.976,62,de,Drama,105,,500000,64910,Lotus-Film;Teamfilm Produktion;OFI,Austria,Deutsch;English;Hrvatski,tt0419449
Blade: Trinity,2004-12-08,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed—The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him—the original vampire, Dracula.",5.9,3781,en,Action;Horror;Science Fiction,123,The final hunt begins.,65000000,128905366,Marvel Enterprises;New Line Cinema;Amen Ra Films;Imaginary Forces;Peter Frankfurt Productions,United States of America,Esperanto;English,tt0359013
The Phantom of the Opera,2004-12-08,"Deformed since birth, a bitter man known only as The Phantom lives in the sewers underneath the Paris Opera House. He falls in love with the obscure chorus singer Christine, and privately tutors her while terrorizing the rest of the crew.",7.251,1569,en,Thriller;Drama;Romance,141,The classic musical comes to the big screen for the first time.,70000000,154674241,Warner Bros. Pictures;Odyssey Entertainment;Scion Films;The Really Useful Group;Scion Films Phantom Production Partnership,United Kingdom;United States of America,Italiano;English,tt0293508
Ocean's Twelve,2004-12-09,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",6.566,7105,en,Thriller;Crime,125,Twelve is the new eleven.,110000000,362744280,Village Roadshow Pictures;Jerry Weintraub Productions;Section Eight;WV Films III;Warner Bros. Pictures,United States of America,Français;Italiano;Nederlands;普通话;English,tt0349903
The Life Aquatic with Steve Zissou,2004-12-10,"Renowned oceanographer Steve Zissou has sworn vengeance upon the rare shark that devoured a member of his crew. In addition to his regular team, he is joined on his boat by Ned, a man who believes Zissou to be his father, and Jane, a journalist pregnant by a married man. They travel the sea, all too often running into pirates and, perhaps more traumatically, various figures from Zissou's past, including his estranged wife, Eleanor.",7.097,2792,en,Adventure;Comedy;Drama,119,"The deeper you go, the weirder life gets.",50000000,34808403,American Empirical Pictures;Touchstone Pictures;Scott Rudin Productions,United States of America,English;Íslenska;Português;Français;;Deutsch;Italiano,tt0362270
Million Dollar Baby,2004-12-15,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",8,9362,en,Drama,132,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",30000000,216763646,Lakeshore Entertainment;Malpaso Productions;Epsilon Motion Pictures;ASR Productions;Warner Bros. Pictures,Switzerland;United States of America,English;Gaeilge,tt0405159
Lemony Snicket's A Series of Unfortunate Events,2004-12-16,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.",6.815,4898,en,Adventure;Comedy;Family,108,Mishaps. Misadventures. Mayhem. Oh joy.,140000000,209073645,Paramount Pictures;DreamWorks Pictures;Nickelodeon Movies;Parkes/MacDonald Productions;Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG,Germany;United States of America,English,tt0339291
The Aviator,2004-12-17,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",7.232,5214,en,Drama,170,Some men dream the future. He built it.,110000000,213700000,Warner Bros. Pictures;Miramax;Initial Entertainment Group;Forward Pass;Appian Way;IMF Internationale Medien und Film GmbH & Co. Produktions KG,Germany;United States of America,English,tt0338751
Meet the Fockers,2004-12-22,"Hard-to-crack ex-CIA man Jack Byrnes and his wife Dina head for the warmer climes of Florida to meet the parents of their son-in-law-to-be, Greg Focker. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",6.245,4660,en,Comedy;Romance,115,Misery loves family.,80000000,516642939,Universal Pictures;DreamWorks Pictures;Tribeca Productions;Everyman Pictures;Nancy Tenenbaum Films,United States of America,English,tt0290002
Elektra,2005-01-13,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",5.039,2363,en,Action;Fantasy;Adventure,97,Looks CAN kill.,43000000,56681566,Regency Enterprises;New Regency Pictures;Marvel Enterprises;Horseshoe Bay Productions;20th Century Fox,United States of America,English;日本語,tt0357277
Hard Candy,2005-01-14,"Hayley’s a smart, charming teenage girl. Jeff’s a handsome, smooth fashion photographer. An Internet chat, a coffee shop meet-up, an impromptu fashion shoot back at Jeff’s place. Jeff thinks it’s his lucky night. He’s in for a surprise.",6.826,2489,en,Drama;Thriller,104,Strangers shouldn't talk to little girls.,950000,7000000,Vulcan Productions,United States of America,English,tt0424136
Jay and Silent Bob Do Degrassi,2005-02-05,"Snoogans! What are Jay and Silent Bob doing in Canada? Rewind….what are they doing at DEGRASSI! One major perk to being a director is that you can live out your fantasies. Kevin Smith's fantasy? To be featured in a three episode arc of Degrassi: The Next Generation! Kevin Smith and Jason Mewes head north to film their next movie in which their alter egos are forced to go back to high school, called ""Jay and Silent Bob Go Canadian, Eh?"" And what better high school to shoot at that Degrassi Community School? But drama ensues even before the cameras begin to roll!",5,14,en,Comedy,74,,0,0,View Askew Productions;Funimation Global Group;Epitome Pictures;Alliance Atlantis,Canada,English,tt1634555
Constantine,2005-02-08,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",7.089,6998,en,Fantasy;Action;Horror,121,Hell wants him. Heaven won't take him. Earth needs him.,100000000,230900000,Village Roadshow Pictures;Lonely Film Productions GmbH & Co. KG.;The Donners' Company;Batfilm Productions;Weed Road Pictures;Warner Bros. Pictures;3 Arts Entertainment;DC Vertigo,Germany;United States of America,;Latin;Español;English,tt0360486
Hitch,2005-02-11,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",6.559,5645,en,Comedy;Drama;Romance,118,The cure for the common man.,70000000,371600000,Columbia Pictures;Overbrook Entertainment,United States of America,English,tt0386588
The Pacifier,2005-03-04,Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,6.05,2985,en,Comedy;Family;Action,95,Welcome to the infantry.,56000000,198636868,Walt Disney Pictures;Spyglass Entertainment,United States of America,English,tt0395699
Robots,2005-03-10,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.",6.449,4447,en,Animation;Comedy;Family;Science Fiction,90,The biggest comedy ever assembled!,75000000,262511490,Blue Sky Studios;20th Century Fox Animation,United States of America,English;Italiano,tt0358082
Mysterious Skin,2005-03-30,"A gay teenage hustler and another teen obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",7.606,1015,en,Drama,105,Two boys. One can't remember. The other can't forget.,3000000,2148548,Desperate Pictures;Fortissimo Films;Antidote Films,United States of America;Netherlands,English,tt0370986
