Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Chicken Run,2000-06-23,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",6.8,4914,en,Animation;Comedy;Family,84,There's nothing more determined than poultry with a plan.,45000000,224834564,Aardman;Pathé;DreamWorks Pictures;DreamWorks Animation,France;United Kingdom;United States of America,English,tt0120630
The Patriot,2000-06-28,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",7.181,3822,en,Drama;History;War;Action,165,"Before they were soldiers, they were family. Before they were legends, they were heroes. Before there was a nation, there was a fight for freedom.",110000000,215294342,Columbia Pictures;Mutual Film Company;Centropolis Entertainment;Global Medien KG,Germany;United States of America,English,tt0187393
Baise-moi,2000-06-28,"Manu has lived a difficult life. Abused and violently raped, she sets off to find herself only to meet Nadine, a prostitute who has encountered one too many injustices in the world. Angry at the world, they embark on a twisted, rage-filled road trip. They choose to have sex when they please and kill when they need. Leaving a trail of mischief and dead bodies in their wake. Generating a media blitz and manhunt, soon everyone is out to capture the young fugitives.",4.81,426,fr,Crime;Drama;Romance;Thriller,77,Art or Pornography? You be the judge! Complete and Uncut the most controversial film of all time...A hard-core Thelma & Louise,0,940944,Toute Premiere Fois;Pan Européenne Productions;Canal+,France,Français,tt0249380
The Perfect Storm,2000-06-29,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail.",6.468,2238,en,Action;Adventure;Drama;Thriller,130,The storm is coming.,130000000,325800000,Baltimore/Spring Creek Pictures;Radiant Productions;Warner Bros. Pictures,United States of America,English,tt0177971
"Crouching Tiger, Hidden Dragon",2000-07-06,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",7.424,3121,zh,Adventure;Drama;Action;Romance,120,"A timeless story of strength, secrets and two warriors who would never surrender.",17000000,213525736,China Film Co-Production Corporation;Good Machine;Asia Union Film & Entertainment Ltd.;United China Vision;Zoom Hunt International Productions Company Ltd.;Edko Films;Ang Lee Productions;Columbia Pictures;Sony Pictures Classics;CP Film Production Asia,China;Hong Kong;Taiwan;United States of America,普通话,tt0190332
Scary Movie,2000-07-07,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",6.355,6764,en,Comedy,88,No mercy. No shame. No sequel.,19000000,278019771,Brad Grey Pictures;Gold/Miller Productions;Wayans Bros. Entertainment;Dimension Films,United States of America,English,tt0175142
What Lies Beneath,2000-07-21,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",6.414,1776,en,Drama;Horror;Mystery;Thriller,130,He was the perfect husband until his one mistake followed them home.,100000000,291400000,DreamWorks Pictures;20th Century Fox;ImageMovers,United States of America,English,tt0161081
Coyote Ugly,2000-07-30,"Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl.",6.247,2024,en,Comedy;Drama;Music;Romance,100,"Tonight, they're calling the shots.",45000000,113900000,Touchstone Pictures;Jerry Bruckheimer Films,United States of America,English,tt0200550
Hollow Man,2000-08-04,"Cocky researcher Sebastian Caine is working on a project to make living creatures invisible. Determined to achieve the ultimate breakthrough, Caine pushes his team to move to the next phase — using himself as the subject. The test is a success, but when the process can't be reversed and Caine seems doomed to future without flesh, he starts to turn increasingly dangerous.",5.936,2453,en,Action;Science Fiction;Thriller,112,Think you’re alone? Think again.,95000000,190213455,Columbia Pictures;Red Wagon Entertainment;Global Medien KG,Germany;United States of America,English,tt0164052
Space Cowboys,2000-08-04,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.",6.384,1329,en,Action;Adventure;Thriller,130,Space will never be the same.,65000000,128900000,Village Roadshow Pictures;Malpaso Productions;Mad Chance;Clipsal Films;Warner Bros. Pictures,United States of America,English,tt0186566
The Replacements,2000-08-11,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",6.64,923,en,Comedy,118,Throw the ball. Catch the girl. Keep it simple.,50000000,50054511,Warner Bros. Pictures;Bel Air Entertainment;Dylan Sellers Productions,United States of America,English,tt0191397
The Cell,2000-08-17,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.,6.275,1490,en,Horror;Science Fiction;Thriller,107,Enter the mind of a killer.,33000000,104155843,Caro-McLeod;Katira Productions GmbH & Co. KG;New Line Cinema;Avery Pix;RadicalMedia,Germany;United States of America,English,tt0209958
Bring It On,2000-08-25,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.",6.2,1655,en,Comedy,98,May the best moves win.,28000000,90449929,Beacon Communications;Universal Pictures,United States of America,English,tt0204946
"O Brother, Where Art Thou?",2000-08-30,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",7.332,4052,en,Adventure;Comedy;Crime,107,"They have a plan, but not a clue.",26000000,71900000,Touchstone Pictures;Universal Pictures;StudioCanal;Working Title Films;Mike Zoss Productions,France;United Kingdom;United States of America,English,tt0190590
Snatch,2000-09-01,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",7.812,8824,en,Crime;Comedy,103,Stealin' stones and breakin' bones.,10000000,83600000,SKA Films;Columbia Pictures;Screen Gems,United Kingdom;United States of America,English;Pусский,tt0208092
Dancer in the Dark,2000-09-01,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",7.867,1738,en,Drama;Crime,140,You don't need eyes to see.,12500000,40061153,Lantia Cinema & Audiovisivi;Fine Line Features;Zentropa Entertainments;DR;SVT Drama;ARTE;Memfis Film;France 3 Cinéma;Angel films;YLE;Blind Spot Pictures;Liberator Productions;Íslenska kvikmyndasamsteypan;Pain Unlimited GmbH Filmproduktion;Trust Film Svenska;Cinematograph A/S;What Else? B.V;Filmek A/S;Film4 Productions;Canal+;ARTE France Cinéma;Film i Väst;TV 1000 Sverige;WDR;Constantin Film;VPRO,Argentina;Denmark;Finland;France;Germany;Iceland;Italy;Netherlands;Norway;Sweden;United Kingdom;United States of America,English,tt0168629
Men of Honor,2000-09-13,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",7.482,2224,en,Drama,129,History is made by those who break the rules.,32000000,82300000,Fox 2000 Pictures,United States of America,English,tt0203019
Almost Famous,2000-09-15,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.",7.5,2646,en,Drama;Music,124,Experience it. Enjoy it. Just don't fall for it.,60000000,47386287,DreamWorks Pictures;Columbia Pictures;Vinyl Films,United States of America,English,tt0181875
Billy Elliot,2000-09-28,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",7.595,3745,en,Drama;Comedy;Music,110,Inside every one of us is a special talent waiting to come out. The trick is finding it.,5000000,109280263,StudioCanal;BBC Film;Tiger Aspect;Arts Council of England;Working Title Films;Universal Pictures;WT² Productions,France;United Kingdom;United States of America,English,tt0249462
Remember the Titans,2000-09-29,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into champions.",7.629,2592,en,Drama,113,History is written by the winners.,30000000,136700000,Jerry Bruckheimer Films;Run It Up Productions Inc.;Technical Black;Walt Disney Pictures,United States of America,English,tt0210945
In the Mood for Love,2000-09-29,"In Hong Kong of 1962, Mrs. Chan and Mr. Chow, a journalist, move into neighbouring apartments on the same day. Their encounters are formal and polite—until a discovery about their respective spouses creates an intimate bond between them.",8.1,2619,cn,Drama;Romance,98,"Feel the heat, keep the feeling burning, let the sensation explode.",150000,14204632,Block 2 Pictures;Jet Tone Films;Paradis Films;Fortissimo Films,France;Hong Kong;Netherlands,广州话 / 廣州話;Français;Español,tt0118694
Best in Show,2000-09-29,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",6.883,557,en,Comedy,90,Some pets deserve a little more respect than others.,0,0,Castle Rock Entertainment,United States of America,English,tt0218839
